target_date,ewma_violation,gb_violation,historical_violation,actual_return,violation_method_count,exception_category,calendar_month,target_position,cluster_id
2026-02-27,False,False,False,0.0003445538522955,0,no_violation,2026-02,293,
2026-03-02,True,True,True,-0.0264490842834671,3,shared_all_3,2026-03,294,16
2026-03-03,True,True,True,-0.0257468780809326,3,shared_all_3,2026-03,295,16
2026-03-04,False,False,False,-0.0050376645749777,0,no_violation,2026-03,296,
2026-03-05,False,True,False,-0.0216668850327261,1,gb_only,2026-03,297,16
2026-03-06,False,True,False,-0.020825756021846,1,gb_only,2026-03,298,16
2026-03-09,True,True,True,-0.069401999313773,3,shared_all_3,2026-03,299,16
2026-03-10,False,False,False,0.0561052476352858,0,no_violation,2026-03,300,
2026-03-11,False,False,False,0.0292629661063208,0,no_violation,2026-03,301,
2026-03-12,False,False,False,-0.0250850988775761,0,no_violation,2026-03,302,
2026-03-13,False,False,False,-0.0150567356832902,0,no_violation,2026-03,303,
2026-03-16,False,False,False,0.0007864683276824,0,no_violation,2026-03,304,
2026-03-17,False,False,False,0.0156081394329211,0,no_violation,2026-03,305,
2026-03-18,False,False,False,-0.0005591933318852,0,no_violation,2026-03,306,
2026-03-19,False,False,False,-0.0140408750757736,0,no_violation,2026-03,307,
2026-03-20,False,False,True,-0.0304067682412018,1,historical_only,2026-03,308,17
2026-03-23,False,False,True,-0.0349148479622449,1,historical_only,2026-03,309,17
2026-03-24,False,False,False,0.0244270130919907,0,no_violation,2026-03,310,
2026-03-25,False,False,False,0.0262490941372421,0,no_violation,2026-03,311,
2026-03-26,False,False,False,-0.0206888948510042,0,no_violation,2026-03,312,
2026-03-27,False,False,False,0.0268115022438999,0,no_violation,2026-03,313,
2026-03-30,False,False,False,-0.0049532664243133,0,no_violation,2026-03,314,
2026-03-31,False,False,False,0.0072109387016719,0,no_violation,2026-03,315,
2026-04-01,False,False,False,0.0082519619053925,0,no_violation,2026-04,316,
2026-04-02,False,False,False,-0.0026811212447098,0,no_violation,2026-04,317,
2026-04-03,False,False,False,-0.0217241181411419,0,no_violation,2026-04,318,
2026-04-06,False,False,False,-0.0021182960781265,0,no_violation,2026-04,319,
2026-04-07,False,False,False,-0.001535083076819,0,no_violation,2026-04,320,
2026-04-08,False,False,False,0.0545455170202042,0,no_violation,2026-04,321,
2026-04-09,False,False,False,-0.0051845220659069,0,no_violation,2026-04,322,
2026-04-10,False,False,False,-0.0023152109509549,0,no_violation,2026-04,323,
2026-04-13,False,False,False,-0.0104950936273025,0,no_violation,2026-04,324,
2026-04-14,False,False,False,0.0111402104322505,0,no_violation,2026-04,325,
2026-04-15,False,False,False,-0.0171442938606111,0,no_violation,2026-04,326,
2026-04-16,False,False,False,-0.0002361129255545,0,no_violation,2026-04,327,
2026-04-17,False,False,False,0.0320939404352479,0,no_violation,2026-04,328,
2026-04-20,False,False,False,0.0108118299583737,0,no_violation,2026-04,329,
2026-04-21,False,False,False,-0.0131157381409184,0,no_violation,2026-04,330,
2026-04-22,False,False,False,-0.0031361570243012,0,no_violation,2026-04,331,
2026-04-23,False,False,False,-0.0134920774100696,0,no_violation,2026-04,332,
2026-04-24,False,False,False,-0.0067649386631999,0,no_violation,2026-04,333,
2026-04-28,False,False,False,0.0112098352442557,0,no_violation,2026-04,334,
2026-04-29,False,False,False,-0.0013429694123319,0,no_violation,2026-04,335,
2026-05-04,False,False,False,-0.006085252004531,0,no_violation,2026-05,336,
2026-05-05,False,False,False,-0.0013461403759491,0,no_violation,2026-05,337,
2026-05-06,False,False,False,0.0039009834233487,0,no_violation,2026-05,338,
2026-05-07,False,False,False,0.0004216363396861,0,no_violation,2026-05,339,
2026-05-08,False,False,False,-0.0092666684071885,0,no_violation,2026-05,340,
2026-05-11,False,False,False,-0.0174016693465486,0,no_violation,2026-05,341,
2026-05-12,False,False,False,0.0028419328493292,0,no_violation,2026-05,342,
2026-05-13,False,False,False,0.0025286973671126,0,no_violation,2026-05,343,
2026-05-14,False,False,False,0.0165440929781562,0,no_violation,2026-05,344,
2026-05-15,False,False,False,-0.0194866656406763,0,no_violation,2026-05,345,
2026-05-18,False,False,False,-0.0042904913592914,0,no_violation,2026-05,346,
2026-05-19,False,False,False,-0.0076406327733822,0,no_violation,2026-05,347,
2026-05-20,False,False,False,0.0093467148029382,0,no_violation,2026-05,348,
2026-05-21,False,False,False,0.0092573633923154,0,no_violation,2026-05,349,
2026-05-22,False,False,False,-0.0090082979964508,0,no_violation,2026-05,350,
2026-05-25,False,False,False,-0.0079636774553335,0,no_violation,2026-05,351,
2026-05-26,False,False,False,0.0058091031742123,0,no_violation,2026-05,352,
2026-05-27,False,False,False,0.0009275383434294,0,no_violation,2026-05,353,
2026-05-28,False,False,False,-0.0180620175813063,0,no_violation,2026-05,354,
2026-05-29,False,False,False,-0.0041396267996594,0,no_violation,2026-05,355,
2026-06-01,False,False,False,0.0189920272066387,0,no_violation,2026-06,356,
2026-06-02,False,False,False,-0.0012559568359216,0,no_violation,2026-06,357,
2026-06-03,False,False,False,0.0165124334294039,0,no_violation,2026-06,358,
2026-06-04,False,False,False,-0.0049346642432338,0,no_violation,2026-06,359,
2026-06-05,False,False,False,-0.0093289142512601,0,no_violation,2026-06,360,
2026-06-08,True,True,False,-0.0224633589181285,2,shared_exactly_2,2026-06,361,18
2026-06-09,False,False,False,0.01157675623279,0,no_violation,2026-06,362,
